x,y
0.000000000000,1.000000000000e+00
0.100000000000,1.110341666667e+00
0.200000000000,1.242805141701e+00
0.300000000000,1.399716994125e+00
0.400000000000,1.583648754520e+00
0.500000000000,1.797441890182e+00
0.600000000000,2.044236940978e+00
0.700000000000,2.327504752482e+00
0.800000000000,2.651081198673e+00
0.900000000000,3.019205576336e+00
1.000000000000,3.436563033152e+00
1.100000000000,3.908331458155e+00
1.200000000000,4.440233303820e+00
1.300000000000,5.038592858308e+00
1.400000000000,5.710399541087e+00
1.500000000000,6.463377855414e+00
1.600000000000,7.306064697790e+00
1.700000000000,8.247894798111e+00
1.800000000000,9.299295145655e+00
1.900000000000,1.047178934592e+01
2.000000000000,1.177811295280e+01
