x,y
0.000000000000,1.000000000000e+00
0.010000000000,1.010100334168e+00
0.020000000000,1.020402680054e+00
0.030000000000,1.030909067907e+00
0.040000000000,1.041621548385e+00
0.050000000000,1.052542192752e+00
0.060000000000,1.063673093091e+00
0.070000000000,1.075016362508e+00
0.080000000000,1.086574135350e+00
0.090000000000,1.098348567410e+00
0.100000000000,1.110341836151e+00
0.110000000000,1.122556140918e+00
0.120000000000,1.134993703159e+00
0.130000000000,1.147656766649e+00
0.140000000000,1.160547597714e+00
0.150000000000,1.173668485457e+00
0.160000000000,1.187021741984e+00
0.170000000000,1.200609702641e+00
0.180000000000,1.214434726244e+00
0.190000000000,1.228499195315e+00
0.200000000000,1.242805516320e+00
0.210000000000,1.257356119913e+00
0.220000000000,1.272153461175e+00
0.230000000000,1.287200019859e+00
0.240000000000,1.302498300643e+00
0.250000000000,1.318050833375e+00
0.260000000000,1.333860173332e+00
0.270000000000,1.349928901466e+00
0.280000000000,1.366259624675e+00
0.290000000000,1.382854976051e+00
0.300000000000,1.399717615152e+00
0.310000000000,1.416850228264e+00
0.320000000000,1.434255528672e+00
0.330000000000,1.451936256928e+00
0.340000000000,1.469895181127e+00
0.350000000000,1.488135097187e+00
0.360000000000,1.506658829121e+00
0.370000000000,1.525469229327e+00
0.380000000000,1.544569178868e+00
0.390000000000,1.563961587765e+00
0.400000000000,1.583649395283e+00
0.410000000000,1.603635570226e+00
0.420000000000,1.623923111237e+00
0.430000000000,1.644515047097e+00
0.440000000000,1.665414437023e+00
0.450000000000,1.686624370980e+00
0.460000000000,1.708147969989e+00
0.470000000000,1.729988386435e+00
0.480000000000,1.752148804386e+00
0.490000000000,1.774632439911e+00
0.500000000000,1.797442541400e+00
0.510000000000,1.820582389892e+00
0.520000000000,1.844055299398e+00
0.530000000000,1.867864617237e+00
0.540000000000,1.892013724370e+00
0.550000000000,1.916506035735e+00
0.560000000000,1.941345000592e+00
0.570000000000,1.966534102867e+00
0.580000000000,1.992076861500e+00
0.590000000000,2.017976830796e+00
0.600000000000,2.044237600781e+00
0.610000000000,2.070862797563e+00
0.620000000000,2.097856083693e+00
0.630000000000,2.125221158529e+00
0.640000000000,2.152961758610e+00
0.650000000000,2.181081658028e+00
0.660000000000,2.209584668804e+00
0.670000000000,2.238474641272e+00
0.680000000000,2.267755464461e+00
0.690000000000,2.297431066486e+00
0.700000000000,2.327505414941e+00
0.710000000000,2.357982517294e+00
0.720000000000,2.388866421288e+00
0.730000000000,2.420161215348e+00
0.740000000000,2.451871028989e+00
0.750000000000,2.484000033225e+00
0.760000000000,2.516552440994e+00
0.770000000000,2.549532507570e+00
0.780000000000,2.582944530996e+00
0.790000000000,2.616792852512e+00
0.800000000000,2.651081856985e+00
0.810000000000,2.685815973353e+00
0.820000000000,2.720999675065e+00
0.830000000000,2.756637480528e+00
0.840000000000,2.792733953562e+00
0.850000000000,2.829293703852e+00
0.860000000000,2.866321387412e+00
0.870000000000,2.903821707049e+00
0.880000000000,2.941799412834e+00
0.890000000000,2.980259302580e+00
0.900000000000,3.019206222314e+00
0.910000000000,3.058645066770e+00
0.920000000000,3.098580779873e+00
0.930000000000,3.139018355236e+00
0.940000000000,3.179962836659e+00
0.950000000000,3.221419318632e+00
0.960000000000,3.263392946846e+00
0.970000000000,3.305888918708e+00
0.980000000000,3.348912483859e+00
0.990000000000,3.392468944699e+00
1.000000000000,3.436563656918e+00
1.010000000000,3.481202030034e+00
1.020000000000,3.526389527929e+00
1.030000000000,3.572131669398e+00
1.040000000000,3.618434028703e+00
1.050000000000,3.665302236126e+00
1.060000000000,3.712741978536e+00
1.070000000000,3.760758999954e+00
1.080000000000,3.809359102131e+00
1.090000000000,3.858548145126e+00
1.100000000000,3.908332047893e+00
1.110000000000,3.958716788871e+00
1.120000000000,4.009708406586e+00
1.130000000000,4.061313000249e+00
1.140000000000,4.113536730372e+00
1.150000000000,4.166385819380e+00
