x,y_num,y_exact,delta
0.000000000000,1.000000000000e+00,1.000000000000e+00,0.000000000000e+00
0.100000000000,1.110341666667e+00,1.110341836151e+00,1.694846287759e-07
0.200000000000,1.242805141701e+00,1.242805516320e+00,3.746189507492e-07
0.300000000000,1.399716994125e+00,1.399717615152e+00,6.210269312135e-07
0.400000000000,1.583648754520e+00,1.583649395283e+00,6.407620725124e-07
0.500000000000,1.797441890182e+00,1.797442541400e+00,6.512186276897e-07
0.600000000000,2.044236940978e+00,2.044237600781e+00,6.598029695937e-07
0.700000000000,2.327504752482e+00,2.327505414941e+00,6.624590902504e-07
0.800000000000,2.651081198673e+00,2.651081856985e+00,6.583120759629e-07
0.900000000000,3.019205576336e+00,3.019206222314e+00,6.459774355427e-07
1.000000000000,3.436563033152e+00,3.436563656918e+00,6.237664766928e-07
1.100000000000,3.908331458155e+00,3.908332047893e+00,5.897382120423e-07
1.200000000000,4.440233303820e+00,4.440233845473e+00,5.416529722524e-07
1.300000000000,5.038592858308e+00,5.038593335238e+00,4.769303130203e-07
1.400000000000,5.710399541087e+00,5.710399933689e+00,3.926025842205e-07
1.500000000000,6.463377855414e+00,6.463378140676e+00,2.852619136462e-07
1.600000000000,7.306064697790e+00,7.306064848790e+00,1.510004636884e-07
1.700000000000,8.247894798111e+00,8.247894783454e+00,1.465705423698e-08
1.800000000000,9.299295145655e+00,9.299294928826e+00,2.168294823690e-07
1.900000000000,1.047178934592e+01,1.047178888456e+01,4.613651150009e-07
2.000000000000,1.177811295280e+01,1.177811219786e+01,7.549384939409e-07
